STITCH 1,STITCH 2,Polypharmacy Side Effect,Side Effect Name
CID000004736,CID000005039,C0010692,Bladder inflammation
CID000004736,CID000005039,C0018681,Head ache
CID000005005,CID005493444,C0003537,aphasia
CID000005005,CID005493444,C0014724,belching
CID000005005,CID005493444,C0442874,neuropathy
CID000005005,CID005493444,C0039070,Fainting
CID000005005,CID005493444,C0002994,angioedema
CID000005005,CID005493444,C0013604,edema
CID000005005,CID005493444,C0011991,diarrhea
CID000005005,CID005493444,C0428977,bradycardia
CID000005005,CID005493444,C0020649,arterial pressure NOS decreased
CID000005005,CID005493444,C0009676,confusion
CID000005005,CID005493444,C0020517,allergies
CID000005005,CID005493444,C0004093,asthenia
CID000005005,CID005493444,C0014457,Eosinophil Count Increased
CID000005005,CID005493444,C0018932,haematochezia
CID000005005,CID005493444,C0015672,Fatigue
CID000005005,CID005493444,C0232492,abdominal pain upper
CID000003261,CID000003746,C0043096,loss of weight
CID000003261,CID000003746,C0004144,atelectasis
CID000003261,CID000003746,C0036974,cardiovascular collapse
CID000003261,CID000003746,C0011615,allergic dermatitis
CID000003261,CID000003746,C0009806,constipated
CID000003261,CID000003746,C0442874,neuropathy
CID000003261,CID000003746,C0032285,neumonia
CID000003261,CID000003746,C0030554,Paraesthesia
CID000003261,CID000003746,C0398353,Hypoventilation
CID000003261,CID000003746,C0027709,nephrocalcinosis
CID000003261,CID000003746,C0007642,cellulitis
CID000003261,CID000003746,C0016204,flatulence
CID000003261,CID000003746,C0018926,haematemesis
CID000003261,CID000003746,C0009676,confusion
CID000003261,CID000003746,C0042029,Infection Urinary Tract
CID000003261,CID000003746,C0033774,itch
CID000003261,CID000003746,C0151786,muscle weakness
CID000003261,CID000003746,C0013604,edema
CID000003261,CID000003746,C0022346,icterus
CID000003261,CID000003746,C0000737,abdominal pain
CID000003261,CID000003746,C0034067,emphysema
CID000003261,CID000003746,C0235974,pancreatic cancer
CID000003261,CID000003746,C0242184,hypoxia
CID000003261,CID000003746,C0013404,Difficulty breathing
CID000003261,CID000003746,C0030446,adynamic ileus
CID000003261,CID000003746,C0040997,trigeminal neuralgia
CID000003261,CID000003746,C0032290,aspiration pneumonia
CID000003261,CID000003746,C0039231,heart rate increased
CID000003261,CID000003746,C0917801,insomnia
CID000003261,CID000003746,C0018188,granuloma
CID000003261,CID000003746,C0042963,emesis
CID000003261,CID000003746,C0021845,intestinal perforation
CID000003261,CID000003746,C0036983,septic shock
CID000003261,CID000003746,C0019080,Bleeding
CID000003261,CID000003746,C0311394,difficulty in walking
CID000003261,CID000003746,C1510472,Drug addiction
CID000003261,CID000003746,C0030193,Pain
CID000003261,CID000003746,C0013144,drowsiness
CID000003261,CID000003746,C0039520,Tenosynovitis
CID000003261,CID000003746,C0027497,nausea
CID000003261,CID000003746,C0003467,Anxiety
CID000003261,CID000003746,C0003123,Anorexia
CID000003261,CID000003746,C0000833,abscess
CID000003261,CID000003746,C0020625,blood sodium decreased
CID000003261,CID000003746,C0023885,liver abscess
CID000003261,CID000003746,C0020649,arterial pressure NOS decreased
CID000003261,CID000003746,C0259768,wound dehiscence
CID000003261,CID000003746,C0003962,ascites
CID000003261,CID000003746,C0152128,drug withdrawal
CID000003446,CID000028112,C0017152,gastric inflammation
CID000003446,CID000028112,C0026986,myelodysplasia
CID000003446,CID000028112,C0085606,micturition urgency
CID000003446,CID000028112,C0016663,Bone Fracture Spontaneous
CID000003446,CID000028112,C0085631,agitated
CID000003446,CID000028112,C0004604,Back Ache
CID000003446,CID000028112,C0013456,ear ache
CID000003446,CID000028112,C0034887,rectal polyp
CID000003446,CID000028112,C0012569,Diplopia
CID000003446,CID000028112,C0151636,Extrasystoles Ventricular
CID000003446,CID000028112,C0178428,sinus arrest
CID000003446,CID000028112,C0038002,enlarged spleen
CID000003446,CID000028112,C0033860,psoriasis
CID000003446,CID000028112,C0027404,narcolepsy
CID000003446,CID000028112,C0015967,body temperature increased
CID000003446,CID000028112,C0267596,haemorrhage rectum
CID000003446,CID000028112,C0014863,esophageal spasm
CID000003446,CID000028112,C1510472,Drug addiction
CID000003446,CID000028112,C0575090,balance disorder
CID000003446,CID000028112,C0027051,heart attack
CID000003446,CID000028112,C0231807,Dyspnea exertional
CID000003446,CID000028112,C0013182,Drug hypersensitivity
CID000003446,CID000028112,C0014868,esophagitis
CID000003446,CID000028112,C0009676,confusion
CID000003446,CID000028112,C0042029,Infection Urinary Tract
CID000003446,CID000028112,C0020488,hypernatraemia
CID000003446,CID000028112,C0020538,High blood pressure
CID000003446,CID000028112,C0149801,urosepsis
CID000003446,CID000028112,C0014118,endocarditis
CID000003446,CID000028112,C0221706,road traffic accident
CID000003446,CID000028112,C0022346,icterus
CID000003446,CID000028112,C0011880,diabetic acidosis
CID000003446,CID000028112,C0030196,Extremity pain
CID000003446,CID000028112,C0003873,Arthritis rheumatoid
CID000003446,CID000028112,C0035522,rib fracture
CID000003446,CID000028112,C0007787,transient ischaemic attack
CID000003446,CID000028112,C0037383,sneezing
CID000003446,CID000028112,C0002871,anaemia
CID000003446,CID000028112,C0005745,blepharoptosis
CID000003446,CID000028112,C0005747,Blepharospasm
CID000003446,CID000028112,C0003044,animal bite
CID000003446,CID000028112,C0003811,Arrhythmia
CID000003446,CID000028112,C0085636,Light sensitivity
CID000003446,CID000028112,C0017160,gastroenteritis
CID000003446,CID000028112,C0008031,chest pain
CID000003446,CID000028112,C0037023,salivary gland inflammation
CID000003446,CID000028112,C0008033,pleural pain
CID000003446,CID000028112,C0017168,acid reflux
CID000003446,CID000028112,C0019291,hernia hiatal
CID000003446,CID000028112,C0917799,excessive sleepiness
CID000003446,CID000028112,C0036983,septic shock
CID000003446,CID000028112,C0039503,Tendinitis
CID000003446,CID000028112,C0085602,excessive thirst
CID000003446,CID000028112,C0003564,Aphonia
CID000003446,CID000028112,C0030193,Pain
CID000003446,CID000028112,C0027022,MPD
CID000003446,CID000028112,C0011127,decubitus ulcer
CID000003446,CID000028112,C0497156,Adenopathy
CID000003446,CID000028112,C0040435,tooth disease
CID000003446,CID000028112,C0027497,nausea
CID000003446,CID000028112,C0039070,Fainting
CID000003446,CID000028112,C0002170,alopecia
CID000003446,CID000028112,C0398353,Hypoventilation
CID000003446,CID000028112,C0022658,disorder Renal
CID000003446,CID000028112,C0006107,brain concussion
CID000003446,CID000028112,C0020625,blood sodium decreased
CID000003446,CID000028112,C0004239,atrial flutter
CID000003446,CID000028112,C0020621,hypokalaemia
CID000003446,CID000028112,C0032227,Pleural Effusion
CID000003446,CID000028112,C0013298,duodenitis
CID000003446,CID000028112,C0149871,deep vein thromboses
CID000003446,CID000028112,C0038395,streptococcal infection
CID000003446,CID000028112,C0003962,ascites
CID000003446,CID000028112,C0038436,post traumatic stress disorder
CID000003446,CID000028112,C0006444,bursitis
CID000003446,CID000028112,C0029927,Ovarian Cyst
CID000003446,CID000028112,C0018188,granuloma
CID000003446,CID000028112,C0019917,hordeolum
CID000003446,CID000028112,C0032285,neumonia
CID000003446,CID000028112,C0035258,Ekbom Syndrome
CID000003446,CID000028112,C0036508,dermatitis seborrheic
CID000003446,CID000028112,C0344232,blurred vision
CID000003446,CID000028112,C0085593,chill
CID000003446,CID000028112,C0851578,sleep disorder
CID000003446,CID000028112,C0006852,candidiasis of vagina
CID000003446,CID000028112,C0018674,head injury
CID000003446,CID000028112,C0037299,cutaneous ulcer
CID000003446,CID000028112,C0428977,bradycardia
CID000003446,CID000028112,C0086769,panic attack
CID000003446,CID000028112,C0011334,dental caries
CID000003446,CID000028112,C0020456,hyperglycaemia
CID000003446,CID000028112,C0019112,haemorrhoids
CID000003446,CID000028112,C0020458,hyperhidrosis
CID000003446,CID000028112,C0028081,night sweat
CID000003446,CID000028112,C0917801,insomnia
CID000003446,CID000028112,C0232943,menometrorrhagia
CID000003446,CID000028112,C0020615,hypoglycaemia
CID000003446,CID000028112,C0012833,dizziness
CID000003446,CID000028112,C0004134,Ataxia
CID000003446,CID000028112,C0015469,facial palsy
CID000003446,CID000028112,C0015468,face pain
CID000003446,CID000028112,C0020598,Blood calcium decreased
CID000003446,CID000028112,C0159877,ankle fracture
CID000003446,CID000028112,C0031350,pharyngeal inflammation
CID000003446,CID000028112,C0015672,Fatigue
CID000003446,CID000028112,C0013221,drug toxicity NOS
CID000003446,CID000028112,C0032290,aspiration pneumonia
CID000003446,CID000028112,C0235946,cerebral atrophy
CID000003446,CID000028112,C0023798,lipoma
CID000003446,CID000028112,C0004093,asthenia
CID000003446,CID000028112,C0042571,spinning sensation
CID000003446,CID000028112,C0004096,asthma
CID000003446,CID000028112,C0028738,nystagmus
CID000003446,CID000028112,C0004245,atrioventricular block
CID000003446,CID000028112,C0013428,dysuria
CID000003446,CID000028112,C0016199,flank pain
CID000003446,CID000028112,C0016053,fibromyalgia
CID000003446,CID000028112,C0085584,encephalopathy
CID000003446,CID000028112,C0700594,radiculopathy
CID000003446,CID000028112,C0011849,Diabetes
CID000003446,CID000028112,C0007860,cervicitis
CID000003446,CID000028112,C0595939,still birth
CID000003446,CID000028112,C0020565,breast enlargement
CID000003446,CID000028112,C0006277,bronchitis
CID000003446,CID000028112,C1456784,paranoia
CID000003446,CID000028112,C0271468,Eustachian tube disorder
CID000003446,CID000028112,C0019209,enlarged liver
CID000003446,CID000028112,C0010054,arteriosclerotic heart disease
CID000003446,CID000028112,C0024586,carcinoid syndrome
CID000003446,CID000028112,C0032326,pneumothorax
CID000003446,CID000028112,C0024421,macroglossia
CID000003446,CID000028112,C0236720,flashbacks
CID000003446,CID000028112,C0043246,laceration
CID000003446,CID000028112,C0036572,convulsion
CID000003446,CID000028112,C0017672,glossodynia
CID000003446,CID000028112,C0035078,kidney failure
CID000003446,CID000028112,C0023885,liver abscess
CID000003446,CID000028112,C0024115,Disorder Lung
CID000003446,CID000028112,C0020040,hot flash
CID000003446,CID000028112,C0004623,Bacterial infection
CID000003446,CID000028112,C1527344,dysphonia
CID000003446,CID000028112,C0037763,muscle spasm
CID000003446,CID000028112,C0043096,loss of weight
CID000003446,CID000028112,C0043094,weight gain
CID000003446,CID000028112,C0007642,cellulitis
CID000003446,CID000028112,C0011615,allergic dermatitis
CID000003446,CID000028112,C0009806,constipated
CID000003446,CID000028112,C0023895,disease of liver
CID000003446,CID000028112,C0003537,aphasia
CID000003446,CID000028112,C0022104,Colon Spastic
CID000003446,CID000028112,C0013384,abnormal movements
CID000003446,CID000028112,C0011053,deafness
CID000003446,CID000028112,C0158252,intervertebral disc disorder
CID000003446,CID000028112,C0392525,Nephrolithiasis
CID000003446,CID000028112,C0235329,Small intestinal obstruction
CID000003446,CID000028112,C0029456,osteoporosis
CID000003446,CID000028112,C0018800,cardiac enlargement
CID000003446,CID000028112,C0149512,acute sinusitis
CID000003446,CID000028112,C0018802,Cardiac decompensation
CID000003446,CID000028112,C0023067,laryngitis
CID000003446,CID000028112,C0242172,Pelvic Inflammatory Disease
CID000003446,CID000028112,C0038362,mucositis oral
CID000003446,CID000028112,C1269683,major depression
CID000003446,CID000028112,C0041582,ulcer
CID000003446,CID000028112,C0033774,itch
CID000003446,CID000028112,C0022575,keratitis sicca
CID000003446,CID000028112,C0023418,Leukaemia
CID000003446,CID000028112,C0027092,myopia
CID000003446,CID000028112,C0039240,Supraventricular tachycardia
CID000003446,CID000028112,C0022660,acute kidney failure
CID000003446,CID000028112,C0009938,bruise
CID000003446,CID000028112,C0008767,Scar
CID000003446,CID000028112,C0021400,flu
CID000003446,CID000028112,C0518988,dental abscess
CID000003446,CID000028112,C0009241,cognitive disorder
CID000003446,CID000028112,C0018799,cardiac disease
CID000003446,CID000028112,C0020676,hypothyroid
CID000003446,CID000028112,C0232492,abdominal pain upper
CID000003446,CID000028112,C0020443,elevated cholesterol
CID000003446,CID000028112,C0039231,heart rate increased
CID000003446,CID000028112,C0013395,dyspepsia
CID000003446,CID000028112,C0037199,Sinusitis
CID000003446,CID000028112,C0039239,sinus tachycardia
CID000003446,CID000028112,C0435630,wrist fracture
CID000003446,CID000028112,C0020542,pulmonary hypertension
CID000003446,CID000028112,C0040264,tinnitus
CID000003446,CID000028112,C0016034,breast dysplasia
CID000003446,CID000028112,C0278008,Altered Bowel Function
CID000003446,CID000028112,C0028754,obesity
CID000003446,CID000028112,C0020461,Excess potassium
CID000003446,CID000028112,C0033036,atrial ectopic beats
CID000003446,CID000028112,C0038358,gastric ulcer
CID000003446,CID000028112,C1145670,respiratory failure
CID000003446,CID000028112,C0018817,atrial septal defect
CID000003446,CID000028112,C0043352,aptyalism
CID000003446,CID000028112,C0011168,deglutition disorder
CID000003446,CID000028112,C0013491,ecchymoses
CID000003446,CID000028112,C0010200,Cough
CID000003446,CID000028112,C0003123,Anorexia
CID000003446,CID000028112,C0686347,tardive dyskinesia
CID000003446,CID000028112,C0149931,migraine
CID000003446,CID000028112,C0023518,leucocytosis
CID000003446,CID000028112,C0032617,polyuria
CID000003446,CID000028112,C0152027,sensory disturbance
CID000003446,CID000028112,C0031039,pericardial effusion
CID000003446,CID000028112,C0152025,polyneuropathy
CID000003446,CID000028112,C0013144,drowsiness
CID000003446,CID000028112,C0151480,antinuclear antibody positive
CID000003446,CID000028112,C0034065,Embolism pulmonary
CID000003446,CID000028112,C0162429,malnourished
CID000003446,CID000028112,C0013362,dysarthria
CID000003446,CID000028112,C0235660,galactorrhea
CID000003446,CID000028112,C0030554,Paraesthesia
CID000003446,CID000028112,C0013473,eating disorder
CID000003446,CID000028112,C0005424,biliary tract disorder
CID000003446,CID000028112,C0002622,Amnesia
CID000003446,CID000028112,C0040822,tremor
CID000003446,CID000028112,C0575081,Abnormal Gait
CID000003446,CID000028112,C0151699,haemorrhage intracranial
CID000003446,CID000028112,C0027424,nasal congestion
CID000003446,CID000028112,C0002103,allergic rhinitis
CID000003446,CID000028112,C0029882,otitis media
CID000003446,CID000028112,C0007859,cervicalgia
CID000003446,CID000028112,C0085649,edema extremities
CID000003446,CID000028112,C0014591,epistaxis
CID000003446,CID000028112,C0018989,hemiparesis
CID000003446,CID000028112,C0036337,schizoaffective disorder
CID000003446,CID000028112,C0019080,Bleeding
CID000003446,CID000028112,C0042963,emesis
CID000003446,CID000028112,C0438215,Abnormal Laboratory Findings
CID000003446,CID000028112,C0152031,joint swelling
CID000003446,CID000028112,C0006012,borderline personality disorder
CID000003446,CID000028112,C0000731,abdominal distension
CID000003446,CID000028112,C0042769,Infection Viral
CID000003446,CID000028112,C0000737,abdominal pain
CID000003446,CID000028112,C0007785,cerebral infarct
CID000003446,CID000028112,C0018021,goiter
CID000003446,CID000028112,C0242184,hypoxia
CID000003446,CID000028112,C0013404,Difficulty breathing
CID000003446,CID000028112,C0011860,Mod
CID000003446,CID000028112,C0004610,Bacteraemia
CID000003446,CID000028112,C0008350,cholelithiasis
CID000003446,CID000028112,C0002962,angina
CID000003446,CID000028112,C0027531,injury of neck
CID000003446,CID000028112,C0029408,Osteoarthritis
CID000003446,CID000028112,C0019158,hepatitis
CID000003446,CID000028112,C0007286,carpal tunnel
CID000003446,CID000028112,C0151825,bone pain
CID000003446,CID000028112,C1384666,Decreased hearing
CID000003446,CID000028112,C0036689,Pharyngitis Streptococcal
CID000003446,CID000028112,C0003467,Anxiety
CID000003446,CID000028112,C0033975,psychoses
CID000003446,CID000028112,C0024902,breast pain
CID000003446,CID000028112,C0033953,psychosexual disorder
CID000003446,CID000028112,C0035410,rhabdomyolysis
CID000003446,CID000028112,C0162283,Nephrogenic diabetes insipidus
CID000003446,CID000028112,C0151798,hepatic necrosis
CID000003446,CID000028112,C0442874,neuropathy
CID000003446,CID000028112,C0019079,coughing blood
CID000003446,CID000028112,C0005586,bipolar disorder
CID000003446,CID000028112,C0020541,portal hypertension
CID000003446,CID000028112,C0041657,loss of consciousness
CID000003446,CID000028112,C0038663,attempted suicide
CID000003446,CID000028112,C0003862,Aching joints
CID000003446,CID000028112,C0041912,Infection Upper Respiratory
CID000003446,CID000028112,C0018524,Hallucination
CID000003446,CID000028112,C0003864,arthritis
CID000003446,CID000028112,C0018520,bad breath
CID000003446,CID000028112,C0020649,arterial pressure NOS decreased
CID000003446,CID000028112,C0018681,Head ache
CID000003446,CID000028112,C0009376,colonic polyp
CID000003446,CID000028112,C0006325,bruxism
CID000002162,CID000003386,C0008325,cholecystitis
CID000002162,CID000003386,C0004604,Back Ache
CID000002162,CID000003386,C0012569,Diplopia
CID000002162,CID000003386,C0027404,narcolepsy
CID000002162,CID000003386,C0267596,haemorrhage rectum
CID000002162,CID000003386,C1510472,Drug addiction
CID000002162,CID000003386,C0027051,heart attack
CID000002162,CID000003386,C0042029,Infection Urinary Tract
CID000002162,CID000003386,C0151786,muscle weakness
CID000002162,CID000003386,C0020538,High blood pressure
CID000002162,CID000003386,C0011882,Diabetic neuropathy
CID000002162,CID000003386,C0000737,abdominal pain
CID000002162,CID000003386,C0001948,alcohol consumption
CID000002162,CID000003386,C0022346,icterus
CID000002162,CID000003386,C0008031,chest pain
CID000002162,CID000003386,C0008033,pleural pain
CID000002162,CID000003386,C0017168,acid reflux
CID000002162,CID000003386,C0080274,bladder retention
CID000002162,CID000003386,C0030193,Pain
CID000002162,CID000003386,C0030196,Extremity pain
CID000002162,CID000003386,C0027497,nausea
CID000002162,CID000003386,C0035078,kidney failure
CID000002162,CID000003386,C0009763,conjunctivitis
CID000002162,CID000003386,C0398353,Hypoventilation
CID000002162,CID000003386,C0020621,hypokalaemia
CID000002162,CID000003386,C0149871,deep vein thromboses
CID000002162,CID000003386,C0038454,apoplexy
CID000002162,CID000003386,C0015256,Excoriation
CID000002162,CID000003386,C0032285,neumonia
CID000002162,CID000003386,C0037199,Sinusitis
CID000002162,CID000003386,C0344232,blurred vision
CID000002162,CID000003386,C0085593,chill
CID000002162,CID000003386,C0037299,cutaneous ulcer
CID000002162,CID000003386,C0006118,brain neoplasm
CID000002162,CID000003386,C0013604,edema
CID000002162,CID000003386,C0012833,dizziness
CID000002162,CID000003386,C0007787,transient ischaemic attack
CID000002162,CID000003386,C0015672,Fatigue
CID000002162,CID000003386,C0004153,Atherosclerosis
CID000002162,CID000003386,C0004093,asthenia
CID000002162,CID000003386,C0011991,diarrhea
CID000002162,CID000003386,C0011849,Diabetes
CID000002162,CID000003386,C0006277,bronchitis
CID000002162,CID000003386,C0037763,muscle spasm
CID000002162,CID000003386,C0151744,Cardiac ischemia
CID000002162,CID000003386,C0020443,elevated cholesterol
CID000002162,CID000003386,C0026848,muscle disorder
CID000002162,CID000003386,C0019079,coughing blood
CID000002162,CID000003386,C0043246,laceration
CID000002162,CID000003386,C0024117,chronic obstructive airway disease
CID000002162,CID000003386,C0031117,neuropathy peripheral
CID000002162,CID000003386,C0008301,choking
CID000002162,CID000003386,C0043096,loss of weight
CID000002162,CID000003386,C0027441,nasopharyngitis
CID000002162,CID000003386,C0007642,cellulitis
CID000002162,CID000003386,C0009806,constipated
CID000002162,CID000003386,C0162316,iron deficiency anaemia
CID000002162,CID000003386,C0033581,prostatitis
CID000002162,CID000003386,C0018965,blood in urine
CID000002162,CID000003386,C0038436,post traumatic stress disorder
CID000002162,CID000003386,C0575081,Abnormal Gait
CID000002162,CID000003386,C0023890,cirrhosis
CID000002162,CID000003386,C0019270,hernia
CID000002162,CID000003386,C0009938,bruise
CID000002162,CID000003386,C0232492,abdominal pain upper
CID000002162,CID000003386,C0013395,dyspepsia
CID000002162,CID000003386,C0022116,ischaemia
CID000002162,CID000003386,C0085649,edema extremities
CID000002162,CID000003386,C0010054,arteriosclerotic heart disease
CID000002162,CID000003386,C0028754,obesity
CID000002162,CID000003386,C0575090,balance disorder
CID000002162,CID000003386,C0011206,acute brain syndrome
CID000002162,CID000003386,C0263912,rotator cuff syndrome
CID000002162,CID000003386,C0013144,drowsiness
CID000002162,CID000003386,C0013362,dysarthria
CID000002162,CID000003386,C1442903,bone spur
CID000002162,CID000003386,C0002622,Amnesia
CID000002162,CID000003386,C0014591,epistaxis
CID000002162,CID000003386,C0037315,sleep apnea
CID000002162,CID000003386,C1527344,dysphonia
CID000002162,CID000003386,C0022603,seborrhoeic keratosis
CID000002162,CID000003386,C0018021,goiter
CID000002162,CID000003386,C0013404,Difficulty breathing
CID000002162,CID000003386,C0011860,Mod
CID000002162,CID000003386,C0008350,cholelithiasis
CID000002162,CID000003386,C0002962,angina
CID000002162,CID000003386,C0029408,Osteoarthritis
CID000002162,CID000003386,C0007286,carpal tunnel
CID000002162,CID000003386,C0042963,emesis
CID000002162,CID000003386,C0003467,Anxiety
CID000002162,CID000003386,C0041657,loss of consciousness
CID000002162,CID000003386,C0003862,Aching joints
CID000002162,CID000003386,C0018524,Hallucination
CID000002162,CID000003386,C0020649,arterial pressure NOS decreased
CID000002162,CID000003386,C0220981,metabolic acidosis
CID000002162,CID000003386,C0006325,bruxism
CID000004259,CID000119607,C0017152,gastric inflammation
CID000004259,CID000119607,C0041834,erythema
CID000004259,CID000119607,C0231807,Dyspnea exertional
CID000004259,CID000119607,C0004604,Back Ache
CID000004259,CID000119607,C0267596,haemorrhage rectum
CID000004259,CID000119607,C0151636,Extrasystoles Ventricular
CID000004259,CID000119607,C0027404,narcolepsy
CID000004259,CID000119607,C0001418,adenocarcinoma
CID000004259,CID000119607,C0013182,Drug hypersensitivity
CID000004259,CID000119607,C0018926,haematemesis
CID000004259,CID000119607,C0014869,reflux esophagitis
CID000004259,CID000119607,C0009676,confusion
CID000004259,CID000119607,C0042029,Infection Urinary Tract
CID000004259,CID000119607,C0027962,melanocytic naevus
CID000004259,CID000119607,C0042025,Stress incontinence
CID000004259,CID000119607,C0020538,High blood pressure
CID000004259,CID000119607,C0678222,Breast cancer
CID000004259,CID000119607,C0033774,itch
CID000004259,CID000119607,C1510475,diverticulosis
CID000004259,CID000119607,C0042109,hive
CID000004259,CID000119607,C0000737,abdominal pain
CID000004259,CID000119607,C0041909,upper gastrointestinal bleeding
CID000004259,CID000119607,C0002871,anaemia
CID000004259,CID000119607,C0018188,granuloma
CID000004259,CID000119607,C0851578,sleep disorder
CID000004259,CID000119607,C0017168,acid reflux
CID000004259,CID000119607,C0043117,idiopathic thrombocytopenic purpura
CID000004259,CID000119607,C0497156,Adenopathy
CID000004259,CID000119607,C0025874,Breakthrough bleeding
CID000004259,CID000119607,C0027497,nausea
CID000004259,CID000119607,C0002170,alopecia
CID000004259,CID000119607,C0018500,hair disease
CID000004259,CID000119607,C0428977,bradycardia
CID000004259,CID000119607,C0206062,ild
CID000004259,CID000119607,C0030554,Paraesthesia
CID000004259,CID000119607,C0262627,Seroma
CID000004259,CID000119607,C0016382,facial flushing
CID000004259,CID000119607,C0006444,bursitis
CID000004259,CID000119607,C0029927,Ovarian Cyst
CID000004259,CID000119607,C0750426,increased white blood cell count
CID000004259,CID000119607,C0032285,neumonia
CID000004259,CID000119607,C0027709,nephrocalcinosis
CID000004259,CID000119607,C0158328,trigger finger
CID000004259,CID000119607,C0085610,sinus bradycardia
CID000004259,CID000119607,C0027707,Interstitial nephritis
CID000004259,CID000119607,C0016204,flatulence
CID000004259,CID000119607,C0020517,allergies
CID000004259,CID000119607,C0020458,hyperhidrosis
CID000004259,CID000119607,C0027339,Nail disorder
CID000004259,CID000119607,C0012833,dizziness
CID000004259,CID000119607,C0151436,allergic vasculitis
CID000004259,CID000119607,C0023798,lipoma
CID000004259,CID000119607,C0042571,spinning sensation
CID000004259,CID000119607,C0011991,diarrhea
CID000004259,CID000119607,C0037284,skin lesion
CID000004259,CID000119607,C0011849,Diabetes
CID000004259,CID000119607,C0006277,bronchitis
CID000004259,CID000119607,C0006849,candidiasis of mouth
CID000004259,CID000119607,C0034067,emphysema
CID000004259,CID000119607,C0017181,gastrointestinal bleed
CID000004259,CID000119607,C0034063,lung edema
CID000004259,CID000119607,C0006840,Candida Infection
CID000004259,CID000119607,C0041582,ulcer
CID000004259,CID000119607,C0020443,elevated cholesterol
CID000004259,CID000119607,C0019079,coughing blood
CID000004259,CID000119607,C0033036,atrial ectopic beats
CID000004259,CID000119607,C0002792,anaphylactic reaction
CID000004259,CID000119607,C0023646,lichen planus
CID000004259,CID000119607,C0022408,arthropathy
CID000004259,CID000119607,C0024115,Disorder Lung
CID000004259,CID000119607,C0024117,chronic obstructive airway disease
CID000004259,CID000119607,C0022679,renal cyst
CID000004259,CID000119607,C0031117,neuropathy peripheral
CID000004259,CID000119607,C0010692,Bladder inflammation
CID000004259,CID000119607,C0231218,Feeling unwell
CID000004259,CID000119607,C0037763,muscle spasm
CID000004259,CID000119607,C0043096,loss of weight
CID000004259,CID000119607,C0043094,weight gain
CID000004259,CID000119607,C0015230,eruption
CID000004259,CID000119607,C0009806,constipated
CID000004259,CID000119607,C0022104,Colon Spastic
CID000004259,CID000119607,C0018965,blood in urine
CID000004259,CID000119607,C0018800,cardiac enlargement
CID000004259,CID000119607,C0018801,cardiac failure
CID000004259,CID000119607,C0027769,nervous tension
CID000004259,CID000119607,C0020473,hyperlipaemia
CID000004259,CID000119607,C0022572,keratoacanthomas
CID000004259,CID000119607,C0022661,Chronic Kidney Disease
CID000004259,CID000119607,C0009938,bruise
CID000004259,CID000119607,C0021400,flu
CID000004259,CID000119607,C0018790,asystole
CID000004259,CID000119607,C0020676,hypothyroid
CID000004259,CID000119607,C0232492,abdominal pain upper
CID000004259,CID000119607,C0015423,eyelid diseases
CID000004259,CID000119607,C0039231,heart rate increased
CID000004259,CID000119607,C0151766,Abnormal LFTs
CID000004259,CID000119607,C0013395,dyspepsia
CID000004259,CID000119607,C0085649,edema extremities
CID000004259,CID000119607,C0010054,arteriosclerotic heart disease
CID000004259,CID000119607,C0024121,lung neoplasms
CID000004259,CID000119607,C1510472,Drug addiction
CID000004259,CID000119607,C0038358,gastric ulcer
CID000004259,CID000119607,C0043352,aptyalism
CID000004259,CID000119607,C0151744,Cardiac ischemia
CID000004259,CID000119607,C0011168,deglutition disorder
CID000004259,CID000119607,C0149931,migraine
CID000004259,CID000119607,C0036396,ischias
CID000004259,CID000119607,C0836924,increased platelet count
CID000004259,CID000119607,C0026946,fungal disease
CID000004259,CID000119607,C0021311,infection
CID000004259,CID000119607,C0345996,milia
CID000004259,CID000119607,C0018944,haematoma
CID000004259,CID000119607,C0002622,Amnesia
CID000004259,CID000119607,C0040034,thrombocytopenia
CID000004259,CID000119607,C0003862,Aching joints
CID000004259,CID000119607,C0019080,Bleeding
CID000004259,CID000119607,C0027947,Neutropenia
CID000004259,CID000119607,C0000731,abdominal distension
CID000004259,CID000119607,C0022603,seborrhoeic keratosis
CID000004259,CID000119607,C0022602,actinic keratosis
CID000004259,CID000119607,C0008031,chest pain
CID000004259,CID000119607,C0242184,hypoxia
CID000004259,CID000119607,C0013404,Difficulty breathing
CID000004259,CID000119607,C0003850,arteriosclerosis
CID000004259,CID000119607,C0008350,cholelithiasis
CID000004259,CID000119607,C0002962,angina
CID000004259,CID000119607,C1384666,Decreased hearing
CID000004259,CID000119607,C0007282,carotid artery stenosis
CID000004259,CID000119607,C0018932,haematochezia
CID000004259,CID000119607,C0015695,fatty liver
CID000004259,CID000119607,C0010709,cyst
CID000004259,CID000119607,C0442874,neuropathy
CID000004259,CID000119607,C0231528,aching muscles
CID000004259,CID000119607,C0398353,Hypoventilation
CID000004259,CID000119607,C0041657,loss of consciousness
CID000004259,CID000119607,C0236048,gastric polyps
CID000004259,CID000119607,C0023518,leucocytosis
CID000004259,CID000119607,C0497247,arterial pressure NOS increased
CID000004259,CID000119607,C0003864,arthritis
CID000004259,CID000119607,C0025222,black stools
CID000004259,CID000119607,C0870082,hyperkeratosis
CID000004259,CID000119607,C0009376,colonic polyp
CID000004259,CID000119607,C0018681,Head ache
CID000004192,CID000087177,C0007642,cellulitis
CID000004192,CID000087177,C0018944,haematoma
